FILENAME,LIBRARY,SUPPLIER,URL
"Rice field frogs and insects close, wide at night 376.wav",South India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/south-india-sound-library-faunethic/
City park of temple birds and light  traffic away_120401_03.wav,Thailand sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/thailand-sound-library-faunethic/
Forest  cicadas insects and birds at night_120113_01.wav,Thailand sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/thailand-sound-library-faunethic/
Jungle quiet insects and birds wide _120407_11.wav,Thailand sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/thailand-sound-library-faunethic/
Rain in forest the day_120118_13.wav,Thailand sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/thailand-sound-library-faunethic/
City Protest in street voices shouting and megaphone speech_140628_03.wav,Turkey sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/turkey-sound-library-faunethic/
City street commercial medium voices vendors and pedestrian activity_140627_05.wav,Turkey sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/turkey-sound-library-faunethic/
City street large voices light birds and many muezzin away_140628_06.wav,Turkey sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/turkey-sound-library-faunethic/
Market big bazard indoor street voices and light activity_140711_05.wav,Turkey sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/turkey-sound-library-faunethic/
"Glass,Bottle,Break,Smash,Messy.wav",Shards Broken Glass,Chris Skyes,http://www.sonniss.com/sound-effects/shards-broken-glass/
"Glass,Shards,Smash,Medium Impact,Lots of Large Shards.wav",Shards Broken Glass,Chris Skyes,http://www.sonniss.com/sound-effects/shards-broken-glass/
"Window,Small,Break,Medium Impact,Large Amount of Clinking Pieces.wav",Shards Broken Glass,Chris Skyes,http://www.sonniss.com/sound-effects/shards-broken-glass/
"Window,Small,Crack,Medium Impact,Bright.wav",Shards Broken Glass,Chris Skyes,http://www.sonniss.com/sound-effects/shards-broken-glass/
AMBIENCE Huge Waves 1m Away From Impact Point 2.wav,The Black Sea,Chris Skyes,http://www.sonniss.com/sound-effects/black-sea/
AMBIENCE Huge Waves 2m Away From Impact Point 1.wav,The Black Sea,Chris Skyes,http://www.sonniss.com/sound-effects/black-sea/
SFX Large Wave Splash on Rocks 21.wav,The Black Sea,Chris Skyes,http://www.sonniss.com/sound-effects/black-sea/
SFX Medium Wave Splash on Rocks 12.wav,The Black Sea,Chris Skyes,http://www.sonniss.com/sound-effects/black-sea/
SFX_Dot_Matrix_Vintage_Printer_Long_Burst_06.wav,Vintage Dot Matrix Printer,Chris Skyes,http://www.sonniss.com/sound-effects/vintage-dot-matrix-printer/
SFX_Dot_Matrix_Vintage_Printer_Long_Burst_27.wav,Vintage Dot Matrix Printer,Chris Skyes,http://www.sonniss.com/sound-effects/vintage-dot-matrix-printer/
SFX_Dot_Matrix_Vintage_Printer_Servo_47.wav,Vintage Dot Matrix Printer,Chris Skyes,http://www.sonniss.com/sound-effects/vintage-dot-matrix-printer/
SFX_Dot_Matrix_Vintage_Printer_Short_Burst_024.wav,Vintage Dot Matrix Printer,Chris Skyes,http://www.sonniss.com/sound-effects/vintage-dot-matrix-printer/
ALY04_AMBIENCE_ALLEY_Downtown_HVAC_Distant traffic.wav,Diffuse City,Collected Transients,http://www.sonniss.com/sound-effects/diffuse-city/
CNT01_EXTRA_TRAIN PASS BY_Arrival and departure_L train.wav,Diffuse City,Collected Transients,http://www.sonniss.com/sound-effects/diffuse-city/
RMB10_AMBIENCE_CITY RUMBLE_Large city_Light wind debris.wav,Diffuse City,Collected Transients,http://www.sonniss.com/sound-effects/diffuse-city/
UDG05_EXTRA_V2_CAR PASS BYS_Medium speed_Truck approach and depart.wav,Diffuse City,Collected Transients,http://www.sonniss.com/sound-effects/diffuse-city/
Eulers Disk Spin_Sharp Edge_Mirror_ST.wav,rOtation,Collected Transients,http://www.sonniss.com/sound-effects/rotation/
Firework Spin_Helicopter Spinner_ST.wav,rOtation,Collected Transients,http://www.sonniss.com/sound-effects/rotation/
Hurricane Balls Spin_1.0in_Glass Surface_Top_M.wav,rOtation,Collected Transients,http://www.sonniss.com/sound-effects/rotation/
Water Swirl_Metal Trashcan_Light_Medium_ST.wav,rOtation,Collected Transients,http://www.sonniss.com/sound-effects/rotation/
"DAYTIME, JUNCTION WITH BUSY TRAFFIC, CARS, MOTORBIKES, TRUCKS, HORNING, PEOPLE ON THE STREET, BIG CITY LIFE, BOMBAY, MUMBAI_INCREDIBLE_INDIA_VOL_II_14.WAV",INCREDIBLE SOUNDS OF INDIA COLLECTION,Creative Audio Pool,http://www.sonniss.com/sound-effects/incredible-sounds-india-collection/
"DAYTIME, MORNING, BIRDS SINGING, BOAT PASSING IN DISTANCE, BUS HORNING, KALIPUR, ANDAMAN ISLANDS_INCREDIBLE_INDIA_VOL_I_31.WAV",INCREDIBLE SOUNDS OF INDIA COLLECTION,Creative Audio Pool,http://www.sonniss.com/sound-effects/incredible-sounds-india-collection/
"DAYTIME, MUSLIM PRAYER OVER CITY, TRAFFIC, PEOPLE, HORNING, GENERAL AMBIENCE IN JODPUR, RAJASTHAN_INCREDIBLE_INDIA_VOL_II_18.WAV",INCREDIBLE SOUNDS OF INDIA COLLECTION,Creative Audio Pool,http://www.sonniss.com/sound-effects/incredible-sounds-india-collection/
"ROOMTONE IN BAMBOO HUT, MORNING, AT SUNRISE, BIRDS, NATURE, ROOSTER, WAVES IN BG, NEIL ISLAND ANDAMAN ISLANDS_INCREDIBLE_INDIA_VOL_I_58.WAV",INCREDIBLE SOUNDS OF INDIA COLLECTION,Creative Audio Pool,http://www.sonniss.com/sound-effects/incredible-sounds-india-collection/
"DAYTIME, ETIOPIAN FOOD MARKED, PEOPLE BARGAINING, CHATTING, WALLA MARKET_MOTHERLAND ETHIOPIA_05.WAV",MOTHERLAND ETHIOPIA,Creative Audio Pool,http://www.sonniss.com/sound-effects/motherland-ethiopia/
"DAYTIME, SMALL TOWN, BACKYARD, BIRDS, TRAFFIC IN DISTANCE, LEAVES IN WIND, MOJO_MOTHERLAND ETHIOPIA_10.WAV",MOTHERLAND ETHIOPIA,Creative Audio Pool,http://www.sonniss.com/sound-effects/motherland-ethiopia/
"DAYTIME, TREE MOVING IN WIND VERY CLOSE, WOOD CREAKING IN WIND, SMALL TOWN BACKYARD, BIRDS DECENT IN BG, THUNDER, CARS IN DISTANCE_MOTHERLAND ETHIOPIA_14.WAV",MOTHERLAND ETHIOPIA,Creative Audio Pool,http://www.sonniss.com/sound-effects/motherland-ethiopia/
"NIGHTTIME, COUNTRYSIDE, VILLAGE LIFE, CICADES, FEMALES WORK IN KITCHEN INSIDE, RECORDED FROM PORCH, BACKGROUND TALKING IN AMHARIC, SHASHAMENE_MOTHERLAND ETHIOPIA_19.WAV",MOTHERLAND ETHIOPIA,Creative Audio Pool,http://www.sonniss.com/sound-effects/motherland-ethiopia/
"BERLIN_HARDWARE STORE_CASH AREA NEAR ESCALATOR_TYPICAL BUSINESS_ANNOUNCEMENT_VOICES_VERS11, UB01-023.wav",URBAN BERLIN VOL. 1,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-1/
"BERLIN_HARDWARE STORE_WOOD SHOP AREA_CIRCULAR SAW 2 TIMES MID DISTANT_VOICES_VERS7, UB01-039.wav",URBAN BERLIN VOL. 1,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-1/
"BERLIN_HAUPTBAHNHOF_STATION HALL CLOSE TO ELEVATOR_UNDERGROND LEVEL_DISTANT TRAINS INCOMING AND OUTGOING_PEOPLE WALK BY_ANNOUNCEMENTS_WALLA4, UB01-044.wav",URBAN BERLIN VOL. 1,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-1/
"BERLIN_KREUZBERG_HOHNESTAUFFENPLATZ_PLAYGROUND_KIDS PLAYING_DISTANT TRAFFIC1, UB01-054.wav",URBAN BERLIN VOL. 1,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-1/
"BERLIN, BACKYARD KOTTBUSSER TOR, ADALBERTSTR, CITY RUMBLE, CARS AND TRAIN IN DISTANCE, BIRDS IN DISTANCE, KIDS, CHATTING OF MEN PASSING, KREUZBERG BERLIN, UB02-09.wav",URBAN BERLIN VOL. 2,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-2/
"BERLIN, EUROPA CENTER GROUND FLOOR NEAR ELEVATOR, CALM SHOPPING MALL, SOME TOURISTS, PEOPLE TALKING WALLA, UB02-23.wav",URBAN BERLIN VOL. 2,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-2/
"BERLIN, NIKOLAI CHURCH ROOMTONE, PEOPLE CHATTING, BIG ROOM REVERB, MIC TO THE ENTRY, UB02-37.wav",URBAN BERLIN VOL. 2,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-2/
"BERLIN, PLATTFORM U-BAHN STATION KOTTBUSSER TOR, TRAIN STOPS MOVES ON, SIGNAL. VOICES, CAR HORN IN DIST, UB02-44.wav",URBAN BERLIN VOL. 2,Creative Audio Pool,http://www.sonniss.com/sound-effects/urban-berlin-vol-2/
MKH3040_chain rattle close 1.wav,Chain Ferry,Detunized,http://www.sonniss.com/sound-effects/chain-ferry/
"MKH3040_ferry engine start and departure, chain rattling.wav",Chain Ferry,Detunized,http://www.sonniss.com/sound-effects/chain-ferry/
Detunized-Infinite-North-38.wav,Infinite,Detunized,http://www.sonniss.com/sound-effects/infinite/
Detunized-Infinite-North-88.wav,Infinite,Detunized,http://www.sonniss.com/sound-effects/infinite/
Detunized-Infinite-South-10.wav,Infinite,Detunized,http://www.sonniss.com/sound-effects/infinite/
Detunized-Infinite-South-24.wav,Infinite,Detunized,http://www.sonniss.com/sound-effects/infinite/
LM1 - Crank Handle - Full Run 01 - LS3.wav,Laundry Mangles,Detunized,http://www.sonniss.com/sound-effects/laundry-mangles/
LM4 - Crank Handle - Various Rev 13 - EDU172-AB.wav,Laundry Mangles,Detunized,http://www.sonniss.com/sound-effects/laundry-mangles/
LM4 - Crank Handle - Various Rev 15 - EDU172-AB.wav,Laundry Mangles,Detunized,http://www.sonniss.com/sound-effects/laundry-mangles/
LM4 - Electric Belt Drive - Full Run 06 - 60AKG-MS.wav,Laundry Mangles,Detunized,http://www.sonniss.com/sound-effects/laundry-mangles/
"RT_office, heater tone 2.wav",Room Tones - Office Building,Detunized,http://www.sonniss.com/sound-effects/room-tones-office-building/
"RT_office, turn on off computers.wav",Room Tones - Office Building,Detunized,http://www.sonniss.com/sound-effects/room-tones-office-building/
"RT_sanitary rooms, windows tilted, rustling plastic in trash can.wav",Room Tones - Office Building,Detunized,http://www.sonniss.com/sound-effects/room-tones-office-building/
"RT_stairhead A, loading elevator.wav",Room Tones - Office Building,Detunized,http://www.sonniss.com/sound-effects/room-tones-office-building/
06_brush_1shots_A_acoustic.wav,The Keyless Piano Body,Detunized,http://www.sonniss.com/sound-effects/keyless-piano-body/
29_brush_1shots_B_contact1.wav,The Keyless Piano Body,Detunized,http://www.sonniss.com/sound-effects/keyless-piano-body/
EDUcon__B3.wav,The Keyless Piano Body,Detunized,http://www.sonniss.com/sound-effects/keyless-piano-body/
Rolfing_Piano_glas_along_strings_18_looped.wav,The Keyless Piano Body,Detunized,http://www.sonniss.com/sound-effects/keyless-piano-body/
Interior_Tones_05.wav,Abstract Interior Tones,Digital Rain Lab,http://www.sonniss.com/sound-effects/abstract-interior-tones/
Interior_Tones_12.wav,Abstract Interior Tones,Digital Rain Lab,http://www.sonniss.com/sound-effects/abstract-interior-tones/
Interior_Tones_31.wav,Abstract Interior Tones,Digital Rain Lab,http://www.sonniss.com/sound-effects/abstract-interior-tones/
